asset_id,display_name,binary_result,review_band,cell_or_body_morphology,membrane_shell_wall,locomotion_structures,internal_structures,colony_or_scale_read,assessment_and_required_fix,changed_since_previous_pass,filename,width,height,mode,sha256,exact_duplicate_with,prior_review_band,strict_status,strict_assessment,binary_gate,status_change_from_prior
Acidophile,Acidophile,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,"Acceptable as an environmental microbe colony, but morphology remains generic; pair the ecology label with a canonical cell type.",False,Acidophile.png,440,440,RGBA,582685f3a471bd8ea19042a7155d7bd7c97d9d98ad0c6a3ff97b7892993b6957,,PASS_WITH_POLISH,HOLD,"Acceptable as an environmental microbe colony, but morphology remains generic; pair the ecology label with a canonical cell type.",FAIL,PASS_WITH_POLISH -> HOLD
Amoeba,Amoeba,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Irregular amoeboid cell, nucleus, and internal vacuoles are represented.",False,Amoeba.png,440,440,RGBA,00f1d1a5fb2095c765230df82c08db7e30a451361ff84767c520db0276a8659f,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Bioluminescent_Plankton,Bioluminescent Plankton,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,Glow field reads; add more planktonic diversity such as flagellates or dinoflagellate shapes.,False,Bioluminescent_Plankton.png,440,440,RGBA,9e0571913a9a1781da883a1ab9dad5baa9843a18113c50e2097ab89f83a4a963,,PASS_WITH_POLISH,HOLD,Glow field reads; add more planktonic diversity such as flagellates or dinoflagellate shapes.,FAIL,PASS_WITH_POLISH -> HOLD
Cryophile,Cryophile,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,"Environmental colony reads, but morphology is generic; add a defined cell family.",False,Cryophile.png,440,440,RGBA,8f919f0fb611985f5e583db86667531b0e81ba72d91f6a66dad64aee183e360f,,PASS_WITH_POLISH,HOLD,"Environmental colony reads, but morphology is generic; add a defined cell family.",FAIL,PASS_WITH_POLISH -> HOLD
Cyanobacteria,Cyanobacteria,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Filamentous chains with heterocyst-like enlarged cells are now visible.,True,Cyanobacteria.png,440,440,RGBA,3a57262608d0eb9e353e7f84eeec77cfb89702ac104251be6e7fedfc8b9a0bf9,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Diatom,Diatom,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Rigid bilateral silica-shell geometry is clearly represented.,True,Diatom.png,440,440,RGBA,04b4479a67a34297c2688a3fcd27c103b2264e92a8a8c6ec0773a804a28df6b5,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Dinoflagellate,Dinoflagellate,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,Armored radial cell is readable; add transverse groove and visible flagella.,False,Dinoflagellate.png,440,440,RGBA,c986a1b4a33558c664cea171b353870cb9dfa2727fa5cfe2cbdfc887e322e170,,PASS_WITH_POLISH,HOLD,Armored radial cell is readable; add transverse groove and visible flagella.,FAIL,PASS_WITH_POLISH -> HOLD
Euglena,Euglena,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Elongated ciliated/flagellate cell with internal bodies is recognizable.,False,Euglena.png,440,440,RGBA,9474917b42f60210f17d0edb67e7569d895d18b36439d8b3ffbde166f4187e02,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Foraminiferan,Foraminiferan,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,Current clustered bubbles with rays lack a chambered test and radiating pseudopodia.,True,Foraminiferan.png,440,440,RGBA,4efe712a8a2877b575b5d9866be35f178c3eed8e9638e19be0b6a2447c94e3a7,,FAIL,FAIL,Current clustered bubbles with rays lack a chambered test and radiating pseudopodia.,FAIL,UNCHANGED
Green_Algae,Green Algae,FAIL,BLOCKER,FAIL,FAIL,FAIL,FAIL,FAIL,Generic single green cell and duplicate flora ownership are unresolved; define microalgal species versus macroalga.,True,Green_Algae.png,440,440,RGBA,2109115590e158d378a04dc0a33bc5c46b6ff53f224963323236988159ef0ccd,,BLOCKER,BLOCKER,Generic single green cell and duplicate flora ownership are unresolved; define microalgal species versus macroalga.,FAIL,UNCHANGED
Halophile,Halophile,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,"Environmental colony reads, but morphology is generic; add a defined archaeal/cell family.",False,Halophile.png,440,440,RGBA,1140b177925d4e17409b3991a3788a7c995bdc3d58053a16ebd3ee7f474c1129,,PASS_WITH_POLISH,HOLD,"Environmental colony reads, but morphology is generic; add a defined archaeal/cell family.",FAIL,PASS_WITH_POLISH -> HOLD
Iron-Oxidizing_Bacteria,Iron Oxidizing Bacteria,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,Colony is readable but generic; add filament/stalk or mineral-associated growth.,False,Iron-Oxidizing_Bacteria.png,440,440,RGBA,d6e345b0eabd1af14e8ec2547349ccd5eddbd23ef8a6b820accbccf56f54c4e9,,PASS_WITH_POLISH,HOLD,Colony is readable but generic; add filament/stalk or mineral-associated growth.,FAIL,PASS_WITH_POLISH -> HOLD
Methanogen,Methanogen,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,Colony is readable but generic; add rod/coccus/chain morphology tied to the phenotype.,False,Methanogen.png,440,440,RGBA,a3d4e181913cf8849c9555aa68b5f6ef841a88f127df81bc065fd562e465cd6a,,PASS_WITH_POLISH,HOLD,Colony is readable but generic; add rod/coccus/chain morphology tied to the phenotype.,FAIL,PASS_WITH_POLISH -> HOLD
Nitrogen-Fixing_Bacteria,Nitrogen Fixing Bacteria,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,Colony is readable but generic; add rods/chains and optional root-nodule context.,False,Nitrogen-Fixing_Bacteria.png,440,440,RGBA,b8987903186a804531ecb5b68d576b48e202e42cf4770658d1ea58a7104a93ce,,PASS_WITH_POLISH,HOLD,Colony is readable but generic; add rods/chains and optional root-nodule context.,FAIL,PASS_WITH_POLISH -> HOLD
Paramecium,Paramecium,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Slipper-shaped ciliate body and internal structures are recognizable.,False,Paramecium.png,440,440,RGBA,be74acb3e3308be33c1e0a7819b3ca1f484e3e603ddc1ee082a05177b16974fd,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
