asset_id,display_name,current_status,binary_result,previous_strict_status,changed_from_previous_submission,expected_growth_family,overall_growth_form,roots_or_attachment,stem_trunk,leaves_fronds,flower_fruit_spore_harvest,scale_and_silhouette,current_assessment_and_required_fix,filename,width,height,mode,sha256,previous_sha256
Acacia,Acacia,HOLD,FAIL,HOLD,True,Tropical trees,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"The asset is a tree, but the narrow circular burst canopy does not read as a classic acacia. Broaden the layered umbrella crown, show horizontal branching and reduce the radial flower-ray treatment.",Acacia.png,440,440,RGBA,28b4e199b954a7a7bd336452bfb50bbf58bffb8c1a004d90d3cc59653fd1ce0f,a15743ebbddc6b1fa2b2722374d3d3dcdb9f878bbfbccec60c342cc096222113
Acai,Acai,FAIL,FAIL,FAIL,False,Other plant or harvest type,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,"The current two-leaf stick is not an açaí palm. Use a slender ringed palm trunk, large pinnate fronds and hanging clusters of small dark-purple berries.",Acai.png,440,440,RGBA,7b1f5e7e4936debce9fe784371fb0b5ed2076fb176d6be05ee8a54e471de26cd,7b1f5e7e4936debce9fe784371fb0b5ed2076fb176d6be05ee8a54e471de26cd
Acorn,Acorn,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Clarify this as a harvest item rather than a fruiting tree portrait, or link it explicitly to Oak. Acorn needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Acorn.png,440,440,RGBA,a7577873669da080b71ff653e1e5509eb0f89807a62ebae71f14d1b88c0120f3,c310fb6a9ec899ae7eb2f9cfff58d76e0c22367084549525f6f9c1ac89cd224e
African_Ginger,African Ginger,PASS,PASS,HOLD,True,Other plant or harvest type,PASS,PASS,PASS,PASS,PASS,PASS,The basal leaves and upright flower spike are sufficiently recognizable.,African_Ginger.png,440,440,RGBA,a07329c1dabd2af35e960ec08ad0742ea950aed1b1c84cc3338bcf728ca1de18,a83f47425b172927831887e89ecaaf01a214e6a5909f3202bdc887bed541b3eb
Agave,Agave,PASS,PASS,HOLD,True,12. Succulents and Desert Plants,PASS,PASS,PASS,PASS,PASS,PASS,The dense basal rosette of thick pointed succulent leaves and flower stalk read correctly.,Agave.png,440,440,RGBA,6e697872d0aceb7b48a8773fb75ff6cba9b50b7bf3a4f7347d952b5472c7aaee,32d3f9dcfa0cb917d5de7a44104bde5a89f4daa9f9eb9b0ae5ffd136b722132f
Air_Plant,Air Plant,PASS,PASS,HOLD,True,17. Parasitic and Unusual Plants,PASS,PASS,PASS,PASS,PASS,PASS,The epiphytic rosette and central bloom are recognizable at this scale.,Air_Plant.png,440,440,RGBA,4bb6ba6569ed37417541672573d812d3a8580e3eec4048b1f67d67fba9fa269d,f1850b0118bfba73615f0aa4b697c8c80dd7b8cd95b4c3faa019925d6b927a9b
Alfalfa,Alfalfa,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Alfalfa needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Alfalfa.png,440,440,RGBA,e3599a3f74fb1bd31291cd596abcbbc71d70998346298eb979d0db03980d9f69,21b38c82c37f265e8de4c5ccc661783bed43320bd49505816bc7dbfb254a13b2
Aloe,Aloe,HOLD,FAIL,HOLD,True,12. Succulents and Desert Plants,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Match stem geometry, branching/rosette habit, pads/ribs, spines, flower and fruit placement for the named cactus or succulent.",Aloe.png,440,440,RGBA,733c7572d25c04200ed66fb63bfce6b36fc5073a71e9cd016318f5e6fa4abca4,4bcce218f0f8b993494b535bea9b6ee3cedbed1fdf182d349d9e5078ee2f56de
Alpine_Mint,Alpine Mint,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Alpine Mint needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Alpine_Mint.png,440,440,RGBA,1ead0b6f7d40fbb5e2eb6d3fa53f5c746aa5d52135c16ef8b6eb049a41ad2c2f,04b30e07ec293449fa491c77e3ce968d1323bf18d2748502ee86ad15a918070a
Alpine_Sorrel,Alpine Sorrel,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Alpine Sorrel needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Alpine_Sorrel.png,440,440,RGBA,41be8c9545c2f6161b9712bc18cc063d3fc02efed9d3ce93564dc41f72b3c0ad,82e8267adcc2652912fe578236f91a6d6fdece9b399f515859a3561a3b57d7cf
