category,asset_id,display_name,binary_result,review_band,body_plan,torso,head,eyes,legs_wings_appendages,rear_tail_flukes,signature_traits,global_body_template_risk,near_identical_silhouette_neighbors,assessment_and_required_fix,changed_since_previous_pass,filename,width,height,mode,sha256,exact_duplicate_with,prior_review_band,expected_body_family,strict_status,manual_recheck_note,template_family_note,strict_assessment,binary_gate,status_change_from_prior,overall_growth_form,roots_or_attachment,stem_trunk,leaves_fronds,flower_fruit_spore_harvest,scale_and_silhouette,expected_growth_family,fruiting_body_family,cap_body,stem_attachment_substrate,surface_spores_texture,cell_or_body_morphology,membrane_shell_wall,locomotion_structures,internal_structures,colony_or_scale_read,procedural_kind,body_or_growth_plan,head_sensory_region,limbs_wings_roots_appendages,rear_tail_or_terminal_region,material_skin_surface,trait_blend_coherence
fauna,Abalone,Abalone,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,Flattened ear-shaped shell and respiratory holes are represented.,False,Abalone.png,440,440,RGBA,1ff811aca9ae33b2dbee083ce93e531543e5cc5fb28ff21a2fe3f7be2b40e622,,PASS,Gastropods,PASS,,"Broad family routing may be usable, but Abalone still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Armadillo,Armadillo,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,"Banded armor, pointed head, low torso, and armored tail are clear.",True,Armadillo.png,440,440,RGBA,82cb6c346f40c005ac0dfe20c7df8d85a1c48bc77b571f81f11bbad5126b2c23,,PASS,Armadillos and relatives,PASS,,"Broad family routing may be usable, but Armadillo still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Barreleye,Barreleye,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,Transparent cranial dome and upward-oriented eyes now define the specialist fish body.,True,Barreleye.png,440,440,RGBA,200370d1d11c33076d9a7c3bb77262a990d7dc8de25d73b56c3ce11fadc756f5,,PASS,Strange deep-sea fish,PASS,,"The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Basking_Shark,Basking Shark,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,Large open filter-feeding mouth and broad gill region are now visible.,True,Basking_Shark.png,440,440,RGBA,a20a353b277ae280b760fdac912144dc451515ae80debee9bc7709db0d5eb550,,PASS,Sharks,PASS,,"The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Butterfly,Butterfly,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,"Paired wings, antennae, frontal eyes, and insect body are clearly readable.",False,Butterfly.png,440,440,RGBA,7d20c738ae3c0f6cb2237eee3c117ae0e30cc9efd765e2edd4bd6cd0d133ee54,,PASS,Insects,PASS,,"Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Damselfly,Damselfly,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,Adult wing pairs and long segmented abdomen are present; keep wings narrower/folded than dragonfly.,True,Damselfly.png,440,440,RGBA,0be788360714373fc7231ce96d985d5ad8f2ae05f4647ff3d949e441e1680644,,PASS,Dragonflies,PASS,,"Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Dragonfly,Dragonfly,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,"Adult wing pairs, segmented abdomen, and compound eyes now read correctly.",False,Dragonfly.png,440,440,RGBA,80bc0b1a3282d3f0a36d7eeadda6fb42a435a2cbb7456ea9e8e34046339723bf,,PASS,Dragonflies,PASS,,"Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Fangtooth,Fangtooth,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,Oversized predatory teeth and deep-sea head are clearly visible.,True,Fangtooth.png,440,440,RGBA,c964f51f91cd79c57b9f317bc81a75f6df173d9bd281cb7539837631d5988dce,,PASS,Strange deep-sea fish,PASS,,"The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Fiddler_Crab,Fiddler Crab,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,One enlarged claw now differentiates the species.,False,Fiddler_Crab.png,440,440,RGBA,4a712a5a9f33a32eb2e9675ac42c4d4bb342b8558a15d86e90e0fa411b04cba4,,PASS,Ice and cave insects,PASS,,"Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Fly_Larvae,Fly Larvae,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,Legless segmented larval body replaces the former adult-fly mismatch.,False,Fly_Larvae.png,440,440,RGBA,0bff8ad7f377b08ca61e3501b969137f259111816fb380a224bf53b09c313c05,,PASS,Insects,PASS,,"Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Flying_Fish,Flying Fish,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,Greatly enlarged pectoral fins now support the gliding silhouette.,True,Flying_Fish.png,440,440,RGBA,c38ff7e15c193f93007ff3ece64aec0016f80a863807f1e4bea8899d981a1ea7,,PASS,Flying and climbing fish,PASS,,"The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Flying_Gurnard,Flying Gurnard,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,Large fan-like pectoral fins now define the fish.,True,Flying_Gurnard.png,440,440,RGBA,8f84d4a7619982da69ce094980bba87ca91120a89b7081dba549452849dcebff,,PASS,Other or uncertain,PASS,,"Broad family routing may be usable, but Flying Gurnard still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Gerenuk,Gerenuk,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,Extended neck and browsing-antelope proportions now separate it from other ungulates.,True,Gerenuk.png,440,440,RGBA,34ac0d17e8fac29fa6b0ea2028ab11436d32000233118251b64a0195468374ae,,PASS,Other or uncertain,PASS,,"Broad family routing may be usable, but Gerenuk still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Horseshoe_Crab,Horseshoe Crab,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,Broad domed carapace and long rigid telson are clearly present.,True,Horseshoe_Crab.png,440,440,RGBA,fd0267b89bae554df3152acd163c1e039adcafa60cebd9deacd9ac26adf21be2,,PASS,Ice and cave insects,PASS,,"Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Kiwi,Kiwi,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,"Low round body, long bill, short legs, and flightless posture are now recognizable.",True,Kiwi.png,440,440,RGBA,12df003186d02718a86ee93a28acd93757558bb92f7be25e1a4c0d523d305e20,,PASS,Flightless birds,PASS,,"Use the species-specific flightless body: correct torso mass, neck length, vestigial wings/flippers, leg proportions, feet, tail and head ornaments.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Koala,Koala,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,Large ears/nose and tree-clinging posture now provide a clear koala read.,True,Koala.png,440,440,RGBA,2812501392072134455b731343181bb81de82fce079da09abcf2e6270d01e8f5,,PASS,Marsupials,PASS,,"Broad family routing may be usable, but Koala still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Lamprey,Lamprey,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,Circular sucker mouth and elongated jawless-fish body are clearly represented.,True,Lamprey.png,440,440,RGBA,a731ab8398a0cd91cbc480b52aadb19cea3796cdc2c04ae421c26701cc88e7f5,,PASS,Primitive fish,PASS,,"The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Manatee,Manatee,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,"Rounded sirenian torso, paddle flippers, and broad tail are now readable.",True,Manatee.png,440,440,RGBA,8cd6213ccc1d2841fa8b32d884d6299451f92eb30653809efe02b8f3cdd7d64b,,PASS,Marine mammals,PASS,,"Strengthen real marine-mammal proportions: streamlined body, species-correct rostrum/head, dorsal fin placement, pectoral flippers, peduncle and horizontal flukes.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
