asset_id,display_name,current_status,binary_result,previous_strict_status,changed_from_previous_submission,expected_body_family,global_body_template_risk,near_identical_silhouette_neighbors,body_plan,torso,head,eyes,legs_wings_appendages,rear_tail_flukes,signature_traits,current_assessment_and_required_fix,filename,width,height,mode,sha256,previous_sha256
Aardvark,Aardvark,FAIL,FAIL,FAIL,True,Unusual African mammals,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,The current animal is still a generic hoofed/rabbit-like quadruped. Rebuild the torso with an arched back and low shoulders; lengthen the tubular snout; enlarge the ears; add heavy digging forelimbs with claws; and replace the thin tail with a thick tapering aardvark tail.,Aardvark.png,440,440,RGBA,70eb2ea56791cea584d3ce302c777d0e8bd8f53eddda6272cf55289b0d4ffe69,def503f353511e828047c30463a5d7b425af325c0673b1af85872987d637246e
Abalone,Abalone,PASS,PASS,PASS,True,Gastropods,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,Abalone.png,440,440,RGBA,090323a519a8409b61444defe221193bced4d988a90c526be10bf82829f3f5d2,1ff811aca9ae33b2dbee083ce93e531543e5cc5fb28ff21a2fe3f7be2b40e622
African_Elephant,African Elephant,HOLD,FAIL,HOLD,True,Elephants and relatives,MEDIUM,,PASS,POLISH,POLISH,PASS,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","Differentiate more strongly from Asian Elephant: larger ears, more concave back, heavier body. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",African_Elephant.png,440,440,RGBA,5ce5e90a4801cd48867c272fe2f1a6f962e2f24ca3ad44032f473d17166a6ed6,b3971439341ed10ca90408fbf358b7202ccb02de34594c0d59bb75428a3bbdce
African_Wild_Dog,African Wild Dog,FAIL,FAIL,FAIL,True,Dogs and dog-like mammals,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The coat pattern and large ears read, but the body is still a straight-legged hoofed ungulate. Use a lean canid chest, digitigrade legs and paws, canine muzzle, sloped abdomen, and a full brush tail.",African_Wild_Dog.png,440,440,RGBA,5d6c3ec14bbca403c8c9da9b40e116ac871fcd1934072a966f6c50e3209ea8cf,d4e64ee2bd1b988182f416ee80fd238699c67e2c01fb4ebc34e4c81681139dc3
Agama,Agama,FAIL,FAIL,HOLD,True,Medium and small lizards,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","The blue-green color and dorsal spines suggest a fantasy lizard more than an agama. Use a low, broad lizard torso, four clearly articulated splayed legs, triangular agama head, long tapering tail, and species-appropriate crest/color zones.",Agama.png,440,440,RGBA,6b34486186d6fe54237decb79d6f68ac305e3e979e385e4c212244a5d9f5d8f2,b8c2ce3a3ab9035a8df5266bfc4837bcacc92b35880127e74a0efb94a29c9002
Agouti,Agouti,HOLD,FAIL,HOLD,True,Rodents,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify rodent/lagomorph skull, incisors/muzzle, fore/hind foot proportions, body posture and tail; several currently inherit the rabbit-like template.",Agouti.png,440,440,RGBA,3dc9ea55041aaa902f1368d8104fcea51fe27339c72aa67286a39948745f4473,f56281cceb3864a8928485ea5cff521428a5d0f752a6463451a3343626d1b810
Albatross,Albatross,FAIL,FAIL,FAIL,True,Seabirds,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The image is a compact generic bird with a long tail. An albatross needs an oceanic seabird body, very long narrow wings, short tail, large hooked/tubular bill, and webbed feet.",Albatross.png,440,440,RGBA,3951012b6223c54ae7b1acc63593aa2f719714572da13d6105c60252996de305,62d380f69641125b065b16acf138b069394afabe3c9de1bedd749c13d392e9b6
Alligator,Alligator,FAIL,FAIL,FAIL,True,Crocodilians,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The body remains a narrow lizard. Widen and flatten the torso, add a broad U-shaped snout, strong splayed limbs, dorsal scutes, and a thick muscular tail.",Alligator.png,440,440,RGBA,b6194a9a7aa0c6cdbc488f6e25457e4b503a9d4d2992c39a8d22273003e1a494,7c078afddc082ea5c1aaf78967ba28e1328d86dfbe17eb4cc0090eb9fb6bea73
Alligator_Lizard,Alligator Lizard,HOLD,FAIL,HOLD,True,Specialized lizards,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify skull/head profile, limb state, body thickness, scale texture, tail and any crest/frill/horn; do not rely on color alone.",Alligator_Lizard.png,440,440,RGBA,769727550dbeb8696c8f2a63840dff4045dc9ff9252bf946158d56482cd561a1,38d6fb8a37919cbdde203478bd57c2463a4765d59843c897347fec6791dd1f45
Alpaca,Alpaca,PASS,PASS,FAIL,True,Camels,HIGH,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"The current long-necked, woolly camelid silhouette, small head, upright ears and compact legs are sufficiently recognizable at this stylized scale.",Alpaca.png,440,440,RGBA,c03abde175b913ed686746c6405439441032295273abe929d34b0f79e7071206,76238edbee977e9722c4080cee7018bc23504463fc75cf284325ca68faf52b2a
Alpine_Salamander,Alpine Salamander,PASS,PASS,FAIL,True,Salamanders,HIGH,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"The low salamander body, four splayed limbs and dark coloration are sufficiently readable; leave the current stylized form alone.",Alpine_Salamander.png,440,440,RGBA,c1212554b185c82cfd88285abd907dfe21d461c1a4a955e316d1f87e4f576f62,de7c54054dd24fc10d99a46214a8ac373cb2442f1f1da445c8138e9a7c08d5fe
