asset_id,display_name,binary_result,review_band,overall_growth_form,roots_or_attachment,stem_trunk,leaves_fronds,flower_fruit_spore_harvest,scale_and_silhouette,assessment_and_required_fix,changed_since_previous_pass,filename,width,height,mode,sha256,exact_duplicate_with,prior_review_band,expected_growth_family,strict_status,manual_recheck_note,template_family_note,strict_assessment,binary_gate,status_change_from_prior
Acacia,Acacia,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,Flat-topped savanna canopy reads; increase crown width/branch structure slightly.,False,Acacia.png,440,440,RGBA,a15743ebbddc6b1fa2b2722374d3d3dcdb9f878bbfbccec60c342cc096222113,,PASS_WITH_POLISH,Tropical trees,HOLD,,"The catalog overuses a round canopy on a straight trunk. Match the species’ trunk habit, branching architecture, crown shape, leaf masses, bark and fruit/flower attachment.","Flat-topped savanna canopy reads; increase crown width/branch structure slightly. The catalog overuses a round canopy on a straight trunk. Match the species’ trunk habit, branching architecture, crown shape, leaf masses, bark and fruit/flower attachment.",FAIL,PASS_WITH_POLISH -> HOLD
Acai,Acai,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,Should read as a palm with dark berry clusters; current thin stem/leaf ladder is not recognizable.,False,Acai.png,440,440,RGBA,7b1f5e7e4936debce9fe784371fb0b5ed2076fb176d6be05ee8a54e471de26cd,,FAIL,Other plant or harvest type,FAIL,,"Acai needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","Should read as a palm with dark berry clusters; current thin stem/leaf ladder is not recognizable. Acai needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,UNCHANGED
Acorn,Acorn,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Clarify this as a harvest item rather than a fruiting tree portrait, or link it explicitly to Oak.",False,Acorn.png,440,440,RGBA,c310fb6a9ec899ae7eb2f9cfff58d76e0c22367084549525f6f9c1ac89cd224e,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Acorn needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","Clarify this as a harvest item rather than a fruiting tree portrait, or link it explicitly to Oak. Acorn needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
African_Ginger,African Ginger,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,African_Ginger.png,440,440,RGBA,a83f47425b172927831887e89ecaaf01a214e6a5909f3202bdc887bed541b3eb,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"African Ginger needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. African Ginger needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Agave,Agave,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Agave.png,440,440,RGBA,32d3f9dcfa0cb917d5de7a44104bde5a89f4daa9f9eb9b0ae5ffd136b722132f,,PASS_WITH_POLISH,12. Succulents and Desert Plants,HOLD,,"Match stem geometry, branching/rosette habit, pads/ribs, spines, flower and fruit placement for the named cactus or succulent.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Match stem geometry, branching/rosette habit, pads/ribs, spines, flower and fruit placement for the named cactus or succulent.",FAIL,PASS_WITH_POLISH -> HOLD
Air_Plant,Air Plant,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Air_Plant.png,440,440,RGBA,f1850b0118bfba73615f0aa4b697c8c80dd7b8cd95b4c3faa019925d6b927a9b,,PASS_WITH_POLISH,17. Parasitic and Unusual Plants,HOLD,,"Air Plant needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Air Plant needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Alfalfa,Alfalfa,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Alfalfa.png,440,440,RGBA,21b38c82c37f265e8de4c5ccc661783bed43320bd49505816bc7dbfb254a13b2,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Alfalfa needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Alfalfa needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Aloe,Aloe,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Aloe.png,440,440,RGBA,4bcce218f0f8b993494b535bea9b6ee3cedbed1fdf182d349d9e5078ee2f56de,,PASS_WITH_POLISH,12. Succulents and Desert Plants,HOLD,,"Match stem geometry, branching/rosette habit, pads/ribs, spines, flower and fruit placement for the named cactus or succulent.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Match stem geometry, branching/rosette habit, pads/ribs, spines, flower and fruit placement for the named cactus or succulent.",FAIL,PASS_WITH_POLISH -> HOLD
Alpine_Mint,Alpine Mint,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Alpine_Mint.png,440,440,RGBA,04b30e07ec293449fa491c77e3ce968d1323bf18d2748502ee86ad15a918070a,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Alpine Mint needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Alpine Mint needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Alpine_Sorrel,Alpine Sorrel,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Alpine_Sorrel.png,440,440,RGBA,82e8267adcc2652912fe578236f91a6d6fdece9b399f515859a3561a3b57d7cf,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Alpine Sorrel needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Alpine Sorrel needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
