asset_id,display_name,current_status,binary_result,previous_strict_status,changed_from_previous_submission,procedural_kind,body_or_growth_plan,head_sensory_region,limbs_wings_roots_appendages,rear_tail_or_terminal_region,material_skin_surface,trait_blend_coherence,current_assessment_and_required_fix,filename,width,height,mode,sha256,previous_sha256
fauna-h0-s0,fauna-h0-s0,PASS,PASS,PASS,True,fauna,PASS,PASS,PASS,PASS,PASS,PASS,"The generated phenotype shows a coherent blend of body/growth plan, appendages, terminal structures and surface material. Earth-species accuracy is not required; leave this combination alone unless runtime animation reveals attachment problems.",fauna-h0-s0.png,440,440,RGBA,2ffb4efd528804bf9045547f84f3b216b9f2941b144b3c2ff4c4d346ed18d345,37be5335faa208955c8468783f3a86debb9290e89ad63c4189174fa3e0c48a03
fauna-h0-s1,fauna-h0-s1,PASS,PASS,PASS,True,fauna,PASS,PASS,PASS,PASS,PASS,PASS,"The generated phenotype shows a coherent blend of body/growth plan, appendages, terminal structures and surface material. Earth-species accuracy is not required; leave this combination alone unless runtime animation reveals attachment problems.",fauna-h0-s1.png,440,440,RGBA,fec5de91ce882bfa6c477228b6d8a8f386d714fa1ada2462a9c1b74b79c192f4,0f26ad5dc48549dc59c56f7e0c97e375672e5315ea9daa1573a4a11cbdfeb1f2
fauna-h0-s10,fauna-h0-s10,PASS,PASS,PASS,True,fauna,PASS,PASS,PASS,PASS,PASS,PASS,"The generated phenotype shows a coherent blend of body/growth plan, appendages, terminal structures and surface material. Earth-species accuracy is not required; leave this combination alone unless runtime animation reveals attachment problems.",fauna-h0-s10.png,440,440,RGBA,9b29c21db362af0c8b3ee34e1433515076160cd14fab185f1195ac3df05c9f69,aaba5e1b59db109a1a5d41d70ff010e299c68996bcffc363dca5bea92b9960c5
fauna-h0-s11,fauna-h0-s11,PASS,PASS,PASS,False,fauna,PASS,PASS,PASS,PASS,PASS,PASS,"The generated phenotype shows a coherent blend of body/growth plan, appendages, terminal structures and surface material. Earth-species accuracy is not required; leave this combination alone unless runtime animation reveals attachment problems.",fauna-h0-s11.png,440,440,RGBA,46fa93407af6c152169e1d9e8aa04f3df221f7eb3211ce151500b1c969947e2c,46fa93407af6c152169e1d9e8aa04f3df221f7eb3211ce151500b1c969947e2c
fauna-h0-s12,fauna-h0-s12,PASS,PASS,PASS,True,fauna,PASS,PASS,PASS,PASS,PASS,PASS,"The generated phenotype shows a coherent blend of body/growth plan, appendages, terminal structures and surface material. Earth-species accuracy is not required; leave this combination alone unless runtime animation reveals attachment problems.",fauna-h0-s12.png,440,440,RGBA,6fe0d6bf847b2f9551fb4ce27148ca74070b6c7bd879c5f52dde25e32ae6a5df,b50a27dc348992de5c6189c919eea5352e2e52ae67f536325b980a3773c7ac31
fauna-h0-s13,fauna-h0-s13,PASS,PASS,PASS,True,fauna,PASS,PASS,PASS,PASS,PASS,PASS,"The generated phenotype shows a coherent blend of body/growth plan, appendages, terminal structures and surface material. Earth-species accuracy is not required; leave this combination alone unless runtime animation reveals attachment problems.",fauna-h0-s13.png,440,440,RGBA,918e2a8b016e9888494d4342796c3d69390dc76677231dff463267dd759bdf3e,d8877c61ef57524a3bf03fc6c516e210250e7b91d47da49c4339d44e250ca52a
fauna-h0-s14,fauna-h0-s14,PASS,PASS,PASS,True,fauna,PASS,PASS,PASS,PASS,PASS,PASS,"The generated phenotype shows a coherent blend of body/growth plan, appendages, terminal structures and surface material. Earth-species accuracy is not required; leave this combination alone unless runtime animation reveals attachment problems.",fauna-h0-s14.png,440,440,RGBA,1c17e363605893468855b3c1bee932312d3a00a95b5a507a4f4d9d28470eead7,d304f6ebfd46b7902e27a5aa067e6f5848083f78d528d2a388ce1008fdfd4411
fauna-h0-s15,fauna-h0-s15,HOLD,FAIL,PASS,False,fauna,PASS,PASS,POLISH,PASS,PASS,PASS_WITH_POLISH,"The trait blend is structurally coherent, but the organism is so dark that the head, body segmentation and appendage attachment are difficult to read. Raise local contrast around the sensory region and limb roots without changing the phenotype.",fauna-h0-s15.png,440,440,RGBA,ebd572f70e01016046e34ab4ce6b3ab218cda1c7df81a3f4daec379b13f0d0c1,ebd572f70e01016046e34ab4ce6b3ab218cda1c7df81a3f4daec379b13f0d0c1
fauna-h0-s16,fauna-h0-s16,PASS,PASS,PASS,False,fauna,PASS,PASS,PASS,PASS,PASS,PASS,"The generated phenotype shows a coherent blend of body/growth plan, appendages, terminal structures and surface material. Earth-species accuracy is not required; leave this combination alone unless runtime animation reveals attachment problems.",fauna-h0-s16.png,440,440,RGBA,6e3cdbbed7f5958212a7a60acee2495f42708e2d253807e07459d378044352df,6e3cdbbed7f5958212a7a60acee2495f42708e2d253807e07459d378044352df
fauna-h0-s17,fauna-h0-s17,PASS,PASS,PASS,True,fauna,PASS,PASS,PASS,PASS,PASS,PASS,"The generated phenotype shows a coherent blend of body/growth plan, appendages, terminal structures and surface material. Earth-species accuracy is not required; leave this combination alone unless runtime animation reveals attachment problems.",fauna-h0-s17.png,440,440,RGBA,b87c47dba9a115c2eff3c5827d5bbb3d28e9ae65dfb9d35997e4fc8d6716a6ad,8d81e46c27370d42e90a10e4a36894d43377122dc78cc8267d6fec2292100dcb
