category,asset_id,display_name,binary_result,review_band,body_plan,torso,head,eyes,legs_wings_appendages,rear_tail_flukes,signature_traits,global_body_template_risk,near_identical_silhouette_neighbors,assessment_and_required_fix,changed_since_previous_pass,filename,width,height,mode,sha256,exact_duplicate_with,overall_growth_form,roots_or_attachment,stem_trunk,leaves_fronds,flower_fruit_spore_harvest,scale_and_silhouette,fruiting_body_family,cap_body,stem_attachment_substrate,surface_spores_texture,cell_or_body_morphology,membrane_shell_wall,locomotion_structures,internal_structures,colony_or_scale_read,procedural_kind,body_or_growth_plan,head_sensory_region,limbs_wings_roots_appendages,rear_tail_or_terminal_region,material_skin_surface,trait_blend_coherence
fauna,Insect-Eating_Bat,Insect Eating Bat,FAIL,BLOCKER,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,LOW,,"Wrong biological class: the portrait is an insect rather than a bat. Route to a mammalian bat rig with paired wings, ears, eyes, and hind limbs.",False,Insect-Eating_Bat.png,440,440,RGBA,99b65fa8142a5dda78df1cb452f4b9380bc116e8c4097a2bea40d2ecf08a744d,,,,,,,,,,,,,,,,,,,,,,,
fauna,Tardigrade,Tardigrade,FAIL,BLOCKER,FAIL,FAIL,FAIL,CHECK,FAIL,FAIL,FAIL,LOW,,Canonical ownership is duplicated between fauna and microbe libraries. Keep one authoritative animal record and render eight short legs with claws clearly.,True,Tardigrade.png,440,440,RGBA,bee9e87e9aaa8b1acdbe987037674ddbd20e827cdaeaecbeeb507b12d9bfdad1,,,,,,,,,,,,,,,,,,,,,,,
flora,Green_Algae,Green Algae,FAIL,BLOCKER,,,,,,,,,,Canonical ownership overlaps the microbe library. Define macroalgal versus microalgal records and use one authoritative ID per organism.,True,Green_Algae.png,440,440,RGBA,67c8f932802d71c1965925e4ed9efb9b8dbf43a29f3bcc4a6882c5df22fb2072,,FAIL,PASS,PASS,PASS,PASS,FAIL,,,,,,,,,,,,,,,,
flora,Reindeer_Lichen,Reindeer Lichen,FAIL,BLOCKER,,,,,,,,,,Canonical ownership overlaps the fungi library. Keep one authoritative fungus/lichen record and reference it from flora/ecology systems.,True,Reindeer_Lichen.png,440,440,RGBA,746b12ce7b155fd9ceed5ca774008ae99332f9992a40f3245571fbc3b7616352,,FAIL,PASS,FAIL,PASS,PASS,FAIL,,,,,,,,,,,,,,,,
flora,Snow_Algae,Snow Algae,FAIL,BLOCKER,,,,,,,,,,Canonical ownership overlaps the microbe library. Define the organism once and reference its surface-colony presentation.,True,Snow_Algae.png,440,440,RGBA,92454c1bd8f4b7001cb25b88886903d0778f13b28c723e84cc542389a5593acf,,FAIL,PASS,PASS,PASS,PASS,FAIL,,,,,,,,,,,,,,,,
fungi,Reindeer_Lichen,Reindeer Lichen,FAIL,BLOCKER,,,,,,,,,,"Visual branching lichen form is good, but canonical ownership duplicates the flora library.",True,Reindeer_Lichen.png,440,440,RGBA,215a932e0f3ed38325bd21bdb2598feb6fe0c433543dfd4b115f6244f24b2c4d,,,,,,,,FAIL,FAIL,FAIL,FAIL,,,,,,,,,,,,
microbe,Green_Algae,Green Algae,FAIL,BLOCKER,,,,,,,,,,Generic single green cell and duplicate flora ownership are unresolved; define microalgal species versus macroalga.,True,Green_Algae.png,440,440,RGBA,2109115590e158d378a04dc0a33bc5c46b6ff53f224963323236988159ef0ccd,,,,,,,,,,,,FAIL,FAIL,FAIL,FAIL,FAIL,,,,,,,
microbe,Snow_Algae,Snow Algae,FAIL,BLOCKER,,,,,,,,,,"Surface colony is shown, but canonical ownership duplicates the flora library.",True,Snow_Algae.png,440,440,RGBA,89db76c871752a545b25109a700432b5531033389c3b006407621d971ba43e00,,,,,,,,,,,,FAIL,FAIL,FAIL,FAIL,FAIL,,,,,,,
microbe,Tardigrade,Tardigrade,FAIL,BLOCKER,,,,,,,,,,Animal appears in both fauna and microbe libraries; keep one canonical record and make all eight legs/claws clearly visible.,True,Tardigrade.png,440,440,RGBA,98b177d8e72d6de08c69374fa6bec0dcafe0899ef9eb1cda4bfcb8bd6886d75e,,,,,,,,,,,,FAIL,FAIL,FAIL,FAIL,FAIL,,,,,,,
fauna,Aardvark,Aardvark,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current body is a deer/rabbit-like quadruped. Add a long tubular snout, arched back, powerful digging forelimbs, large ears, and a thick tapering tail.",True,Aardvark.png,440,440,RGBA,def503f353511e828047c30463a5d7b425af325c0673b1af85872987d637246e,,,,,,,,,,,,,,,,,,,,,,,
fauna,African_Wild_Dog,African Wild Dog,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current deer-like torso and legs do not read canine. Add a deep chest, dog paws, long muzzle, huge rounded ears, and white-tipped tail.",True,African_Wild_Dog.png,440,440,RGBA,d4e64ee2bd1b988182f416ee80fd238699c67e2c01fb4ebc34e4c81681139dc3,,,,,,,,,,,,,,,,,,,,,,,
fauna,Albatross,Albatross,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current compact grounded bird does not show the defining long-winged oceanic body. Use an extremely long wingspan, long seabird bill, and flight/glide posture.",True,Albatross.png,440,440,RGBA,62d380f69641125b065b16acf138b069394afabe3c9de1bedd749c13d392e9b6,,,,,,,,,,,,,,,,,,,,,,,
fauna,Alligator,Alligator,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current arrow-like body lacks a broad crocodilian torso, four legs, heavy head, and muscular tail.",False,Alligator.png,440,440,RGBA,7c078afddc082ea5c1aaf78967ba28e1328d86dfbe17eb4cc0090eb9fb6bea73,,,,,,,,,,,,,,,,,,,,,,,
fauna,Alpaca,Alpaca,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Body is too deer-like. Add dense fleece volume, shorter face, camelid feet, and separate it from llama through ear and head proportions.",True,Alpaca.png,440,440,RGBA,76238edbee977e9722c4080cee7018bc23504463fc75cf284325ca68faf52b2a,,,,,,,,,,,,,,,,,,,,,,,
fauna,Alpine_Salamander,Alpine Salamander,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current body shows too few functional limbs and paddle-like lobes. Use four short salamander limbs, elongated torso, and tapering tail.",False,Alpine_Salamander.png,440,440,RGBA,de7c54054dd24fc10d99a46214a8ac373cb2442f1f1da445c8138e9a7c08d5fe,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bactrian_Camel,Bactrian Camel,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Two humps are present, but the body is deer-like. Add a long camel head/neck, high chest, padded feet, and integrated humps.",True,Bactrian_Camel.png,440,440,RGBA,0a3ace8887a53ae19721584c21c625ac9df16adccf3c9e1a845fb49e5d95e902,,,,,,,,,,,,,,,,,,,,,,,
fauna,Beaked_Whale,Beaked Whale,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,LOW,,Add a clear beak/rostrum and a more elongated whale body.,True,Beaked_Whale.png,440,440,RGBA,fa0ec1dc3ec32ac9cea8fbe2b48571e7895a8d1c1eda49752cf6e947f7a1a2bc,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bear,Bear,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current long-legged/pig-like scaffold lacks ursid shoulder mass, plantigrade paws, bear muzzle, and rounded rear.",True,Bear.png,440,440,RGBA,aa3c46e57adb04da492bc206d4c27adbb15cc409795c67c4aaa447e068fc477a,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bee,Bee,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current bead-like insect lacks two wing pairs, thorax/abdomen separation, six legs, and bee body hair.",False,Bee.png,440,440,RGBA,0b0399d907a007fd9da89f0b4d7845346b107f201f6e4b3ded7cec12961f5bdc,,,,,,,,,,,,,,,,,,,,,,,
fauna,Black_Bear,Black Bear,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current pig-like scaffold lacks ursid shoulders, paws, bear head, and readable dark-face contrast.",True,Black_Bear.png,440,440,RGBA,4bcef068d4e0a92ef15633ba6669943a12aecccab552539a04b8c11b0cd4a543,,,,,,,,,,,,,,,,,,,,,,,
fauna,Black_Fly,Black Fly,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,HIGH,Aphid | Cicada | Cold-Adapted_Insect | Orchid_Bee | Termite | Thrips,"Current bead-like body lacks readable wings, thorax/abdomen separation, six legs, and fly head/eyes.",False,Black_Fly.png,440,440,RGBA,edf5151f6b49eca10e2e1e69a93e6882ed66c4779352d92a259ed35f6bef4ee3,,,,,,,,,,,,,,,,,,,,,,,
