asset_id,display_name,current_status,binary_result,previous_strict_status,changed_from_previous_submission,fruiting_body_family,cap_body,stem_attachment_substrate,surface_spores_texture,current_assessment_and_required_fix,filename,width,height,mode,sha256,previous_sha256
Bioluminescent_Mushroom,Bioluminescent Mushroom,PASS,PASS,PASS,True,PASS,PASS,PASS,PASS,The cap-and-stem cluster and localized glow are clear.,Bioluminescent_Mushroom.png,440,440,RGBA,b3e25013204b48dc76fb7f7f3929dc7c503a2de4b8afe6fbff5085a059d3b2c6,a277f69e2d28219dc9e0c0a0c9a3f94ef9c295df4ebec7ae0765fa519df85157
Black_Truffle,Black Truffle,PASS,PASS,PASS,True,PASS,PASS,PASS,PASS,The irregular underground fruiting body and cut interior are recognizable.,Black_Truffle.png,440,440,RGBA,2d437a221a9dafafbbbd8f618f192069341f1b3302704a5121abdc84e1793999,403d81d2ddc1ce5056a3313ee55541a86fcec3923302c2758b20d911ddf3120e
Bracket_Fungus,Bracket Fungus,PASS,PASS,PASS,False,PASS,PASS,PASS,PASS,The lateral shelf growth on wood is clear; optional polish is to vary shelf thickness and edge shape.,Bracket_Fungus.png,440,440,RGBA,b3f5e6a614f9160a4517b1e3f542f8ebe4054ce0d20764fe47ce5e597407f426,b3f5e6a614f9160a4517b1e3f542f8ebe4054ce0d20764fe47ce5e597407f426
Chanterelle,Chanterelle,FAIL,FAIL,FAIL,True,FAIL,FAIL,FAIL,FAIL,The current three regular flat-capped mushrooms do not look like chanterelles. Use funnel/trumpet caps with wavy margins and blunt false-gill ridges running down the stem.,Chanterelle.png,440,440,RGBA,d33fc3db340396052c98d4baa058d6e03637844d9d3b56378b27df70a5c67897,7271a7cd055097234cc8e4286db76326d3265d0c8d3026c5a32719e9fd828ca8
Chicken-of-the-Woods,Chicken of the Woods,FAIL,FAIL,PASS,False,PASS,PASS,PASS,PASS,"The shelf family is correct, but the pale blue-white blades are wrong. Use thick overlapping orange/yellow fan-shaped lobes with irregular margins.",Chicken-of-the-Woods.png,440,440,RGBA,518974ccafd5b70d9c201767d7ac917bb19214115122f1df1839b0741079e602,518974ccafd5b70d9c201767d7ac917bb19214115122f1df1839b0741079e602
Coral_Fungus,Coral Fungus,PASS,PASS,PASS,True,PASS,PASS,PASS,PASS,The branching coral-like fruiting body is recognizable.,Coral_Fungus.png,440,440,RGBA,953bbba045110e5dd1be00bb8c19da52ae0d89e325dc01b532fbebbe594a27b7,b936ba0fd7462ea223b8c6ef18696336376ce884b7c864ab7c140402b8b37370
Cordyceps,Cordyceps,PASS,PASS,HOLD,True,PASS,PASS,PASS,PASS,The upright parasitic club-like fruiting bodies on a substrate now read as cordyceps.,Cordyceps.png,440,440,RGBA,c375269fa0d75c7f05b146d0076efc8df6c82229fad5b4fdb2b88e624599230a,cd8eb2ae7583931cb181a9c6211420b06457f3f9dd8b12729ec1248ae68e4c34
Death_Cap,Death Cap,PASS,PASS,FAIL,True,PASS,PASS,PASS,PASS,"The greenish cap, pale stem and basal structure are sufficiently recognizable.",Death_Cap.png,440,440,RGBA,8729d826830e609c946172d9d8fd1b9482c6292dc2557c7a74f6b58ae471ab5a,dce61aecc53f7d74a5b2b6a6e4852ddde25054c881931be254bde9a1c7ad3669
Destroying_Angel,Destroying Angel,PASS,PASS,FAIL,True,PASS,PASS,PASS,PASS,The white cap-and-stem amanita form is recognizable.,Destroying_Angel.png,440,440,RGBA,abea43cb5466560790065da5f606814673ddadc0ce440e6e5a2cab489546936f,810c0ecbdc6a60d3a28a8636b70be66479cf0a1a56e888f1f0df3f1ab31dec83
Earthstar,Earthstar,FAIL,FAIL,FAIL,False,FAIL,FAIL,FAIL,FAIL,The image is a dark round ball with little or no visible star. Add multiple leathery outer rays opened around a central spore sac.,Earthstar.png,440,440,RGBA,5cfa0e8d6bde966406304817664f13021610f9dcab15b0159995efef289a9c23,5cfa0e8d6bde966406304817664f13021610f9dcab15b0159995efef289a9c23
