asset_id,display_name,current_status,binary_result,previous_strict_status,changed_from_previous_submission,cell_or_body_morphology,membrane_shell_wall,locomotion_structures,internal_structures,colony_or_scale_read,current_assessment_and_required_fix,filename,width,height,mode,sha256,previous_sha256
Acidophile,Acidophile,HOLD,FAIL,HOLD,True,PASS,POLISH,POLISH,POLISH,POLISH,"The rod morphology is plausible, but “acidophile” is an ecology label rather than a body type. Pair it with a defined bacterial/archaeal morphology and acid-adaptation material cues.",Acidophile.png,440,440,RGBA,cf493a74dc3ae5524a6dc9fc5351484cf74162b5683cfa9901cc1ec05bae64ee,582685f3a471bd8ea19042a7155d7bd7c97d9d98ad0c6a3ff97b7892993b6957
Amoeba,Amoeba,PASS,PASS,PASS,True,PASS,PASS,PASS,PASS,PASS,"The irregular cell outline, pseudopod-like lobe, nucleus and vacuoles are recognizable.",Amoeba.png,440,440,RGBA,6598feb6937535ae7f0b897ca0abfcef09d7bfe4cfbb2508fbae70dcff7d4b22,00f1d1a5fb2095c765230df82c08db7e30a451361ff84767c520db0276a8659f
Bioluminescent_Plankton,Bioluminescent Plankton,PASS,PASS,HOLD,True,PASS,PASS,PASS,PASS,PASS,The flagellated glowing plankton cells are coherent and readable.,Bioluminescent_Plankton.png,440,440,RGBA,67794fb6dabb70c0470a8280ed67b7456e0fe31ba4b2700987feab7aac6356d1,9e0571913a9a1781da883a1ab9dad5baa9843a18113c50e2097ab89f83a4a963
Cryophile,Cryophile,HOLD,FAIL,HOLD,True,PASS,POLISH,POLISH,POLISH,POLISH,"The rods are plausible, but add a specified cell type and cold-adaptation cues such as membrane/sheath or colony structure.",Cryophile.png,440,440,RGBA,e527303cf05cb9c17af2e8e88cf0fe4603e40a7ddacb0ab0abe9fa6bcba33b42,8f919f0fb611985f5e583db86667531b0e81ba72d91f6a66dad64aee183e360f
Cyanobacteria,Cyanobacteria,PASS,PASS,PASS,True,PASS,PASS,PASS,PASS,PASS,The long filamentous chains with specialized cells are recognizable.,Cyanobacteria.png,440,440,RGBA,9afbd9438774232757d0e560a080419044b919596cd93b71b5073557ad44bba8,3a57262608d0eb9e353e7f84eeec77cfb89702ac104251be6e7fedfc8b9a0bf9
Diatom,Diatom,PASS,PASS,PASS,True,PASS,PASS,PASS,PASS,PASS,The rigid symmetric silica frustule is clear.,Diatom.png,440,440,RGBA,eaa6e3cf523adf71372a83546a8ae835d4d850b4131a982613d7304ac102bbef,04b4479a67a34297c2688a3fcd27c103b2264e92a8a8c6ec0773a804a28df6b5
Dinoflagellate,Dinoflagellate,HOLD,FAIL,HOLD,False,PASS,POLISH,POLISH,POLISH,POLISH,"The armored radial cell reads as plankton, but add the transverse groove and two flagella that define dinoflagellates.",Dinoflagellate.png,440,440,RGBA,c986a1b4a33558c664cea171b353870cb9dfa2727fa5cfe2cbdfc887e322e170,c986a1b4a33558c664cea171b353870cb9dfa2727fa5cfe2cbdfc887e322e170
Euglena,Euglena,HOLD,FAIL,PASS,False,PASS,PASS,PASS,PASS,PASS,"The green elongated cell and internal structures read, but add a clear flagellum, eyespot and more spindle-shaped body.",Euglena.png,440,440,RGBA,9474917b42f60210f17d0edb67e7569d895d18b36439d8b3ffbde166f4187e02,9474917b42f60210f17d0edb67e7569d895d18b36439d8b3ffbde166f4187e02
Foraminiferan,Foraminiferan,PASS,PASS,FAIL,False,PASS,PASS,PASS,PASS,PASS,The chambered cluster and radiating pseudopodia now clearly read as a foraminiferan.,Foraminiferan.png,440,440,RGBA,4efe712a8a2877b575b5d9866be35f178c3eed8e9638e19be0b6a2447c94e3a7,4efe712a8a2877b575b5d9866be35f178c3eed8e9638e19be0b6a2447c94e3a7
Halophile,Halophile,HOLD,FAIL,HOLD,True,PASS,POLISH,POLISH,POLISH,POLISH,"The rod cells are plausible, but the ecology label needs a defined base morphology plus salt-adaptation surface/colony cues.",Halophile.png,440,440,RGBA,595e3fc0a595b35eab68fe0ee3c4fab644efe2a688009ea9961314676ab3be80,1140b177925d4e17409b3991a3788a7c995bdc3d58053a16ebd3ee7f474c1129
