asset_id,display_name,binary_result,review_band,fruiting_body_family,cap_body,stem_attachment_substrate,surface_spores_texture,assessment_and_required_fix,changed_since_previous_pass,filename,width,height,mode,sha256,exact_duplicate_with,prior_review_band,strict_status,strict_assessment,binary_gate,status_change_from_prior
Bioluminescent_Mushroom,Bioluminescent Mushroom,PASS,PASS,PASS,PASS,PASS,PASS,Cap-and-stem form plus localized glow is clear.,False,Bioluminescent_Mushroom.png,440,440,RGBA,a277f69e2d28219dc9e0c0a0c9a3f94ef9c295df4ebec7ae0765fa519df85157,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Black_Truffle,Black Truffle,PASS,PASS,PASS,PASS,PASS,PASS,Irregular underground fruiting body and cut surface are recognizable.,True,Black_Truffle.png,440,440,RGBA,403d81d2ddc1ce5056a3313ee55541a86fcec3923302c2758b20d911ddf3120e,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Bracket_Fungus,Bracket Fungus,PASS,PASS,PASS,PASS,PASS,PASS,Layered shelves attached laterally to wood are correct.,False,Bracket_Fungus.png,440,440,RGBA,b3f5e6a614f9160a4517b1e3f542f8ebe4054ce0d20764fe47ce5e597407f426,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Chanterelle,Chanterelle,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,Current generic yellow mushrooms lack funnel caps and decurrent false gill ridges.,False,Chanterelle.png,440,440,RGBA,7271a7cd055097234cc8e4286db76326d3265d0c8d3026c5a32719e9fd828ca8,,FAIL,FAIL,Current generic yellow mushrooms lack funnel caps and decurrent false gill ridges.,FAIL,UNCHANGED
Chicken-of-the-Woods,Chicken of the Woods,PASS,PASS,PASS,PASS,PASS,PASS,Orange shelf brackets attached to wood are recognizable.,False,Chicken-of-the-Woods.png,440,440,RGBA,518974ccafd5b70d9c201767d7ac917bb19214115122f1df1839b0741079e602,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Coral_Fungus,Coral Fungus,PASS,PASS,PASS,PASS,PASS,PASS,Branching coral-like fruiting body is correct.,False,Coral_Fungus.png,440,440,RGBA,b936ba0fd7462ea223b8c6ef18696336376ce884b7c864ab7c140402b8b37370,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Cordyceps,Cordyceps,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,Club-like fruiting bodies are present; add host/substrate relationship and more irregular clubs.,True,Cordyceps.png,440,440,RGBA,cd8eb2ae7583931cb181a9c6211420b06457f3f9dd8b12729ec1248ae68e4c34,,PASS_WITH_POLISH,HOLD,Club-like fruiting bodies are present; add host/substrate relationship and more irregular clubs.,FAIL,PASS_WITH_POLISH -> HOLD
Death_Cap,Death Cap,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,"Current yellow generic mushrooms lack olive-green caps, ring, and basal volva.",False,Death_Cap.png,440,440,RGBA,dce61aecc53f7d74a5b2b6a6e4852ddde25054c881931be254bde9a1c7ad3669,,FAIL,FAIL,"Current yellow generic mushrooms lack olive-green caps, ring, and basal volva.",FAIL,UNCHANGED
Destroying_Angel,Destroying Angel,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,Current purple mushrooms should be white with ring and basal volva.,False,Destroying_Angel.png,440,440,RGBA,810c0ecbdc6a60d3a28a8636b70be66479cf0a1a56e888f1f0df3f1ab31dec83,,FAIL,FAIL,Current purple mushrooms should be white with ring and basal volva.,FAIL,UNCHANGED
Earthstar,Earthstar,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,Central spore sac is too dark and the star-shaped outer rays are not readable.,False,Earthstar.png,440,440,RGBA,5cfa0e8d6bde966406304817664f13021610f9dcab15b0159995efef289a9c23,,FAIL,FAIL,Central spore sac is too dark and the star-shaped outer rays are not readable.,FAIL,UNCHANGED
