category,asset_id,display_name,current_status,binary_result,previous_strict_status,changed_from_previous_submission,expected_body_family,global_body_template_risk,near_identical_silhouette_neighbors,body_plan,torso,head,eyes,legs_wings_appendages,rear_tail_flukes,signature_traits,current_assessment_and_required_fix,filename,width,height,mode,sha256,previous_sha256,expected_growth_family,overall_growth_form,roots_or_attachment,stem_trunk,leaves_fronds,flower_fruit_spore_harvest,scale_and_silhouette,fruiting_body_family,cap_body,stem_attachment_substrate,surface_spores_texture,cell_or_body_morphology,membrane_shell_wall,locomotion_structures,internal_structures,colony_or_scale_read,procedural_kind,body_or_growth_plan,head_sensory_region,limbs_wings_roots_appendages,rear_tail_or_terminal_region,material_skin_surface,trait_blend_coherence
fauna,Abalone,Abalone,PASS,PASS,PASS,True,Gastropods,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,Abalone.png,440,440,RGBA,090323a519a8409b61444defe221193bced4d988a90c526be10bf82829f3f5d2,1ff811aca9ae33b2dbee083ce93e531543e5cc5fb28ff21a2fe3f7be2b40e622,,,,,,,,,,,,,,,,,,,,,,,
fauna,Alpaca,Alpaca,PASS,PASS,FAIL,True,Camels,HIGH,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"The current long-necked, woolly camelid silhouette, small head, upright ears and compact legs are sufficiently recognizable at this stylized scale.",Alpaca.png,440,440,RGBA,c03abde175b913ed686746c6405439441032295273abe929d34b0f79e7071206,76238edbee977e9722c4080cee7018bc23504463fc75cf284325ca68faf52b2a,,,,,,,,,,,,,,,,,,,,,,,
fauna,Alpine_Salamander,Alpine Salamander,PASS,PASS,FAIL,True,Salamanders,HIGH,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"The low salamander body, four splayed limbs and dark coloration are sufficiently readable; leave the current stylized form alone.",Alpine_Salamander.png,440,440,RGBA,c1212554b185c82cfd88285abd907dfe21d461c1a4a955e316d1f87e4f576f62,de7c54054dd24fc10d99a46214a8ac373cb2442f1f1da445c8138e9a7c08d5fe,,,,,,,,,,,,,,,,,,,,,,,
fauna,Angelfish,Angelfish,PASS,PASS,HOLD,True,Reef fish,MEDIUM,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"The deep laterally compressed body, tall dorsal/anal fins and trailing rays now clearly read as an angelfish.",Angelfish.png,440,440,RGBA,ff5e5b9da2fa4a183f3144f73166802fdaa44c3e428634af2c34a831a37b9ad5,ef2db5927387819acb45fecf8eecb0aa5c0b807e48d19f1bc8ce87aec5a98ca3,,,,,,,,,,,,,,,,,,,,,,,
fauna,Armadillo,Armadillo,PASS,PASS,PASS,True,Armadillos and relatives,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,Armadillo.png,440,440,RGBA,33cd5b904f7b6cce4b9ffd88b7fd7024ace137cb67d8ce54ffbd5d0fe43c3b70,82cb6c346f40c005ac0dfe20c7df8d85a1c48bc77b571f81f11bbad5126b2c23,,,,,,,,,,,,,,,,,,,,,,,
fauna,Barreleye,Barreleye,PASS,PASS,PASS,True,Strange deep-sea fish,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,Barreleye.png,440,440,RGBA,9c035ebe58dc9a6757b8095d3838e54669fff02615e3cd76309c61ccab625e1e,200370d1d11c33076d9a7c3bb77262a990d7dc8de25d73b56c3ce11fadc756f5,,,,,,,,,,,,,,,,,,,,,,,
fauna,Basking_Shark,Basking Shark,PASS,PASS,PASS,True,Sharks,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,Basking_Shark.png,440,440,RGBA,1134ed987036ea1a9d784895a221d14d7156f9ace27e35ac357bfcf716cd2761,a20a353b277ae280b760fdac912144dc451515ae80debee9bc7709db0d5eb550,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bull,Bull,PASS,PASS,FAIL,True,Cattle and bovids,HIGH,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"The current bovine torso, horns, head and stance are sufficiently recognizable as a bull at the project’s stylized scale.",Bull.png,440,440,RGBA,211e9ac47f6754381cc72ab05abd83eb7c1b064d46d59a34adb57f17d791ac46,1a0bea2ee8820686d4ba4f255c92fa68dfbd14952472d4f1b57f447876f1b861,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bumblebee,Bumblebee,PASS,PASS,FAIL,True,Bees,HIGH,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"The round striped body, wings and insect segmentation are readable; leave alone.",Bumblebee.png,440,440,RGBA,2a13d885841019053fb5c98465abe13887345b691b85c7303e104c6fe86d29a8,c2a54c03668df104b2a01b5754dbdf37f78d06c9eb9b66076f9ce13ceaf13a1c,,,,,,,,,,,,,,,,,,,,,,,
fauna,Butterfly,Butterfly,PASS,PASS,PASS,True,Insects,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,Butterfly.png,440,440,RGBA,20437108a2c9f3c9c2b4681f7e915b7211a17045463ca68c6ef75c7bebd4e7f5,7d20c738ae3c0f6cb2237eee3c117ae0e30cc9efd765e2edd4bd6cd0d133ee54,,,,,,,,,,,,,,,,,,,,,,,
