asset_id,display_name,binary_result,review_band,body_plan,torso,head,eyes,legs_wings_appendages,rear_tail_flukes,signature_traits,global_body_template_risk,near_identical_silhouette_neighbors,assessment_and_required_fix,changed_since_previous_pass,filename,width,height,mode,sha256,exact_duplicate_with,prior_review_band,expected_body_family,strict_status,manual_recheck_note,template_family_note,strict_assessment,binary_gate,status_change_from_prior
Aardvark,Aardvark,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current body is a deer/rabbit-like quadruped. Add a long tubular snout, arched back, powerful digging forelimbs, large ears, and a thick tapering tail.",True,Aardvark.png,440,440,RGBA,def503f353511e828047c30463a5d7b425af325c0673b1af85872987d637246e,,FAIL,Unusual African mammals,FAIL,,"Broad family routing may be usable, but Aardvark still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.","Current body is a deer/rabbit-like quadruped. Add a long tubular snout, arched back, powerful digging forelimbs, large ears, and a thick tapering tail. Broad family routing may be usable, but Aardvark still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",FAIL,UNCHANGED
Abalone,Abalone,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,Flattened ear-shaped shell and respiratory holes are represented.,False,Abalone.png,440,440,RGBA,1ff811aca9ae33b2dbee083ce93e531543e5cc5fb28ff21a2fe3f7be2b40e622,,PASS,Gastropods,PASS,,"Broad family routing may be usable, but Abalone still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,PASS,UNCHANGED
African_Elephant,African Elephant,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,PASS,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.",MEDIUM,,"Differentiate more strongly from Asian Elephant: larger ears, more concave back, heavier body.",True,African_Elephant.png,440,440,RGBA,b3971439341ed10ca90408fbf358b7202ccb02de34594c0d59bb75428a3bbdce,,PASS_WITH_POLISH,Elephants and relatives,HOLD,,"Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.","Differentiate more strongly from Asian Elephant: larger ears, more concave back, heavier body. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",FAIL,PASS_WITH_POLISH -> HOLD
African_Wild_Dog,African Wild Dog,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current deer-like torso and legs do not read canine. Add a deep chest, dog paws, long muzzle, huge rounded ears, and white-tipped tail.",True,African_Wild_Dog.png,440,440,RGBA,d4e64ee2bd1b988182f416ee80fd238699c67e2c01fb4ebc34e4c81681139dc3,,FAIL,Dogs and dog-like mammals,FAIL,,"The catalog repeatedly uses a deer-like quadruped for canids. Use a deep canine chest, digitigrade paws/hocks, canine skull and muzzle, and a properly furred tail.","Current deer-like torso and legs do not read canine. Add a deep chest, dog paws, long muzzle, huge rounded ears, and white-tipped tail. The catalog repeatedly uses a deer-like quadruped for canids. Use a deep canine chest, digitigrade paws/hocks, canine skull and muzzle, and a properly furred tail.",FAIL,UNCHANGED
Agama,Agama,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.",MEDIUM,,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language.",True,Agama.png,440,440,RGBA,b8c2ce3a3ab9035a8df5266bfc4837bcacc92b35880127e74a0efb94a29c9002,,PASS_WITH_POLISH,Medium and small lizards,HOLD,,"Verify skull/head profile, limb state, body thickness, scale texture, tail and any crest/frill/horn; do not rely on color alone.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify skull/head profile, limb state, body thickness, scale texture, tail and any crest/frill/horn; do not rely on color alone.",FAIL,PASS_WITH_POLISH -> HOLD
Agouti,Agouti,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.",MEDIUM,,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language.",False,Agouti.png,440,440,RGBA,f56281cceb3864a8928485ea5cff521428a5d0f752a6463451a3343626d1b810,,PASS_WITH_POLISH,Rodents,HOLD,,"Verify rodent/lagomorph skull, incisors/muzzle, fore/hind foot proportions, body posture and tail; several currently inherit the rabbit-like template.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify rodent/lagomorph skull, incisors/muzzle, fore/hind foot proportions, body posture and tail; several currently inherit the rabbit-like template.",FAIL,PASS_WITH_POLISH -> HOLD
Albatross,Albatross,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current compact grounded bird does not show the defining long-winged oceanic body. Use an extremely long wingspan, long seabird bill, and flight/glide posture.",True,Albatross.png,440,440,RGBA,62d380f69641125b065b16acf138b069394afabe3c9de1bedd749c13d392e9b6,,FAIL,Seabirds,FAIL,,"The named bird relies too heavily on the shared side-bird template. Correct the bill, neck, body depth, wing length, leg type, tail and crest/display structures for the species.","Current compact grounded bird does not show the defining long-winged oceanic body. Use an extremely long wingspan, long seabird bill, and flight/glide posture. The named bird relies too heavily on the shared side-bird template. Correct the bill, neck, body depth, wing length, leg type, tail and crest/display structures for the species.",FAIL,UNCHANGED
Alligator,Alligator,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current arrow-like body lacks a broad crocodilian torso, four legs, heavy head, and muscular tail.",False,Alligator.png,440,440,RGBA,7c078afddc082ea5c1aaf78967ba28e1328d86dfbe17eb4cc0090eb9fb6bea73,,FAIL,Crocodilians,FAIL,,"Current narrow arrow-like body is not crocodilian. Use a broad low torso, splayed robust limbs, species-correct skull, armored back and thick muscular tail.","Current arrow-like body lacks a broad crocodilian torso, four legs, heavy head, and muscular tail. Current narrow arrow-like body is not crocodilian. Use a broad low torso, splayed robust limbs, species-correct skull, armored back and thick muscular tail.",FAIL,UNCHANGED
Alligator_Lizard,Alligator Lizard,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.",MEDIUM,,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language.",True,Alligator_Lizard.png,440,440,RGBA,38d6fb8a37919cbdde203478bd57c2463a4765d59843c897347fec6791dd1f45,,PASS_WITH_POLISH,Specialized lizards,HOLD,,"Verify skull/head profile, limb state, body thickness, scale texture, tail and any crest/frill/horn; do not rely on color alone.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify skull/head profile, limb state, body thickness, scale texture, tail and any crest/frill/horn; do not rely on color alone.",FAIL,PASS_WITH_POLISH -> HOLD
Alpaca,Alpaca,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Body is too deer-like. Add dense fleece volume, shorter face, camelid feet, and separate it from llama through ear and head proportions.",True,Alpaca.png,440,440,RGBA,76238edbee977e9722c4080cee7018bc23504463fc75cf284325ca68faf52b2a,,FAIL,Camels,FAIL,,"Current forms read as deer with humps. Build a camelid neck/chest, padded two-toed feet, long camelid head, integrated hump anatomy, and species-correct coat/tail.","Body is too deer-like. Add dense fleece volume, shorter face, camelid feet, and separate it from llama through ear and head proportions. Current forms read as deer with humps. Build a camelid neck/chest, padded two-toed feet, long camelid head, integrated hump anatomy, and species-correct coat/tail.",FAIL,UNCHANGED
