category,asset_id,display_name,binary_result,review_band,body_plan,torso,head,eyes,legs_wings_appendages,rear_tail_flukes,signature_traits,global_body_template_risk,near_identical_silhouette_neighbors,assessment_and_required_fix,changed_since_previous_pass,filename,width,height,mode,sha256,exact_duplicate_with,prior_review_band,expected_body_family,strict_status,manual_recheck_note,template_family_note,strict_assessment,binary_gate,status_change_from_prior,overall_growth_form,roots_or_attachment,stem_trunk,leaves_fronds,flower_fruit_spore_harvest,scale_and_silhouette,expected_growth_family,fruiting_body_family,cap_body,stem_attachment_substrate,surface_spores_texture,cell_or_body_morphology,membrane_shell_wall,locomotion_structures,internal_structures,colony_or_scale_read,procedural_kind,body_or_growth_plan,head_sensory_region,limbs_wings_roots_appendages,rear_tail_or_terminal_region,material_skin_surface,trait_blend_coherence
fauna,Insect-Eating_Bat,Insect Eating Bat,FAIL,BLOCKER,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,LOW,,"Wrong biological class: the portrait is an insect rather than a bat. Route to a mammalian bat rig with paired wings, ears, eyes, and hind limbs.",False,Insect-Eating_Bat.png,440,440,RGBA,99b65fa8142a5dda78df1cb452f4b9380bc116e8c4097a2bea40d2ecf08a744d,,BLOCKER,Flying mammals,BLOCKER,,"Broad family routing may be usable, but Insect Eating Bat still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.","Wrong biological class: the portrait is an insect rather than a bat. Route to a mammalian bat rig with paired wings, ears, eyes, and hind limbs. Broad family routing may be usable, but Insect Eating Bat still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Tardigrade,Tardigrade,FAIL,BLOCKER,FAIL,FAIL,FAIL,CHECK,FAIL,FAIL,FAIL,LOW,,Canonical ownership is duplicated between fauna and microbe libraries. Keep one authoritative animal record and render eight short legs with claws clearly.,True,Tardigrade.png,440,440,RGBA,bee9e87e9aaa8b1acdbe987037674ddbd20e827cdaeaecbeeb507b12d9bfdad1,,BLOCKER,Other or uncertain,BLOCKER,,"Broad family routing may be usable, but Tardigrade still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.","Canonical ownership is duplicated between fauna and microbe libraries. Keep one authoritative animal record and render eight short legs with claws clearly. Broad family routing may be usable, but Tardigrade still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
flora,Green_Algae,Green Algae,FAIL,BLOCKER,,,,,,,,,,Canonical ownership overlaps the microbe library. Define macroalgal versus microalgal records and use one authoritative ID per organism.,True,Green_Algae.png,440,440,RGBA,67c8f932802d71c1965925e4ed9efb9b8dbf43a29f3bcc4a6882c5df22fb2072,,BLOCKER,,BLOCKER,,"Use the correct holdfast/rooting, blade/frond form, branching, air bladders and water-growth habit instead of a single generic ribbon or blob.","Canonical ownership overlaps the microbe library. Define macroalgal versus microalgal records and use one authoritative ID per organism. Use the correct holdfast/rooting, blade/frond form, branching, air bladders and water-growth habit instead of a single generic ribbon or blob.",FAIL,UNCHANGED,FAIL,PASS,PASS,PASS,PASS,FAIL,Algae,,,,,,,,,,,,,,,,
flora,Reindeer_Lichen,Reindeer Lichen,FAIL,BLOCKER,,,,,,,,,,Canonical ownership overlaps the fungi library. Keep one authoritative fungus/lichen record and reference it from flora/ecology systems.,True,Reindeer_Lichen.png,440,440,RGBA,746b12ce7b155fd9ceed5ca774008ae99332f9992a40f3245571fbc3b7616352,,BLOCKER,,BLOCKER,,"Reindeer Lichen needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","Canonical ownership overlaps the fungi library. Keep one authoritative fungus/lichen record and reference it from flora/ecology systems. Reindeer Lichen needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,UNCHANGED,FAIL,PASS,FAIL,PASS,PASS,FAIL,Lichens,,,,,,,,,,,,,,,,
flora,Snow_Algae,Snow Algae,FAIL,BLOCKER,,,,,,,,,,Canonical ownership overlaps the microbe library. Define the organism once and reference its surface-colony presentation.,True,Snow_Algae.png,440,440,RGBA,92454c1bd8f4b7001cb25b88886903d0778f13b28c723e84cc542389a5593acf,,BLOCKER,,BLOCKER,,"Snow Algae needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","Canonical ownership overlaps the microbe library. Define the organism once and reference its surface-colony presentation. Snow Algae needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,UNCHANGED,FAIL,PASS,PASS,PASS,PASS,FAIL,Other plant or harvest type,,,,,,,,,,,,,,,,
fungi,Reindeer_Lichen,Reindeer Lichen,FAIL,BLOCKER,,,,,,,,,,"Visual branching lichen form is good, but canonical ownership duplicates the flora library.",True,Reindeer_Lichen.png,440,440,RGBA,215a932e0f3ed38325bd21bdb2598feb6fe0c433543dfd4b115f6244f24b2c4d,,BLOCKER,,BLOCKER,,,"Visual branching lichen form is good, but canonical ownership duplicates the flora library.",FAIL,UNCHANGED,,,,,,,,FAIL,FAIL,FAIL,FAIL,,,,,,,,,,,,
microbe,Green_Algae,Green Algae,FAIL,BLOCKER,,,,,,,,,,Generic single green cell and duplicate flora ownership are unresolved; define microalgal species versus macroalga.,True,Green_Algae.png,440,440,RGBA,2109115590e158d378a04dc0a33bc5c46b6ff53f224963323236988159ef0ccd,,BLOCKER,,BLOCKER,,,Generic single green cell and duplicate flora ownership are unresolved; define microalgal species versus macroalga.,FAIL,UNCHANGED,,,,,,,,,,,,FAIL,FAIL,FAIL,FAIL,FAIL,,,,,,,
microbe,Snow_Algae,Snow Algae,FAIL,BLOCKER,,,,,,,,,,"Surface colony is shown, but canonical ownership duplicates the flora library.",True,Snow_Algae.png,440,440,RGBA,89db76c871752a545b25109a700432b5531033389c3b006407621d971ba43e00,,BLOCKER,,BLOCKER,,,"Surface colony is shown, but canonical ownership duplicates the flora library.",FAIL,UNCHANGED,,,,,,,,,,,,FAIL,FAIL,FAIL,FAIL,FAIL,,,,,,,
microbe,Tardigrade,Tardigrade,FAIL,BLOCKER,,,,,,,,,,Animal appears in both fauna and microbe libraries; keep one canonical record and make all eight legs/claws clearly visible.,True,Tardigrade.png,440,440,RGBA,98b177d8e72d6de08c69374fa6bec0dcafe0899ef9eb1cda4bfcb8bd6886d75e,,BLOCKER,,BLOCKER,,,Animal appears in both fauna and microbe libraries; keep one canonical record and make all eight legs/claws clearly visible.,FAIL,UNCHANGED,,,,,,,,,,,,FAIL,FAIL,FAIL,FAIL,FAIL,,,,,,,
fauna,Aardvark,Aardvark,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current body is a deer/rabbit-like quadruped. Add a long tubular snout, arched back, powerful digging forelimbs, large ears, and a thick tapering tail.",True,Aardvark.png,440,440,RGBA,def503f353511e828047c30463a5d7b425af325c0673b1af85872987d637246e,,FAIL,Unusual African mammals,FAIL,,"Broad family routing may be usable, but Aardvark still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.","Current body is a deer/rabbit-like quadruped. Add a long tubular snout, arched back, powerful digging forelimbs, large ears, and a thick tapering tail. Broad family routing may be usable, but Aardvark still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,African_Wild_Dog,African Wild Dog,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current deer-like torso and legs do not read canine. Add a deep chest, dog paws, long muzzle, huge rounded ears, and white-tipped tail.",True,African_Wild_Dog.png,440,440,RGBA,d4e64ee2bd1b988182f416ee80fd238699c67e2c01fb4ebc34e4c81681139dc3,,FAIL,Dogs and dog-like mammals,FAIL,,"The catalog repeatedly uses a deer-like quadruped for canids. Use a deep canine chest, digitigrade paws/hocks, canine skull and muzzle, and a properly furred tail.","Current deer-like torso and legs do not read canine. Add a deep chest, dog paws, long muzzle, huge rounded ears, and white-tipped tail. The catalog repeatedly uses a deer-like quadruped for canids. Use a deep canine chest, digitigrade paws/hocks, canine skull and muzzle, and a properly furred tail.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Albatross,Albatross,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current compact grounded bird does not show the defining long-winged oceanic body. Use an extremely long wingspan, long seabird bill, and flight/glide posture.",True,Albatross.png,440,440,RGBA,62d380f69641125b065b16acf138b069394afabe3c9de1bedd749c13d392e9b6,,FAIL,Seabirds,FAIL,,"The named bird relies too heavily on the shared side-bird template. Correct the bill, neck, body depth, wing length, leg type, tail and crest/display structures for the species.","Current compact grounded bird does not show the defining long-winged oceanic body. Use an extremely long wingspan, long seabird bill, and flight/glide posture. The named bird relies too heavily on the shared side-bird template. Correct the bill, neck, body depth, wing length, leg type, tail and crest/display structures for the species.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Alligator,Alligator,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current arrow-like body lacks a broad crocodilian torso, four legs, heavy head, and muscular tail.",False,Alligator.png,440,440,RGBA,7c078afddc082ea5c1aaf78967ba28e1328d86dfbe17eb4cc0090eb9fb6bea73,,FAIL,Crocodilians,FAIL,,"Current narrow arrow-like body is not crocodilian. Use a broad low torso, splayed robust limbs, species-correct skull, armored back and thick muscular tail.","Current arrow-like body lacks a broad crocodilian torso, four legs, heavy head, and muscular tail. Current narrow arrow-like body is not crocodilian. Use a broad low torso, splayed robust limbs, species-correct skull, armored back and thick muscular tail.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Alpaca,Alpaca,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Body is too deer-like. Add dense fleece volume, shorter face, camelid feet, and separate it from llama through ear and head proportions.",True,Alpaca.png,440,440,RGBA,76238edbee977e9722c4080cee7018bc23504463fc75cf284325ca68faf52b2a,,FAIL,Camels,FAIL,,"Current forms read as deer with humps. Build a camelid neck/chest, padded two-toed feet, long camelid head, integrated hump anatomy, and species-correct coat/tail.","Body is too deer-like. Add dense fleece volume, shorter face, camelid feet, and separate it from llama through ear and head proportions. Current forms read as deer with humps. Build a camelid neck/chest, padded two-toed feet, long camelid head, integrated hump anatomy, and species-correct coat/tail.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
