category,asset_id,display_name,prior_review_band,strict_status,binary_gate,status_change_from_prior,strict_assessment,filename
fauna,Blobfish,Blobfish,PASS,FAIL,FAIL,PASS -> FAIL,Current red oval fish does not preserve the blobfish’s distinctive soft head/face and deep-bodied proportions. Rebuild the head and body rather than relying on color.,Blobfish.png
fauna,Cuttlefish,Cuttlefish,PASS,FAIL,FAIL,PASS -> FAIL,"Current bell/jelly-like body is not a cuttlefish. Use a broad oval mantle, continuous lateral fin skirt, visible cephalopod head, eight arms, and two feeding tentacles.",Cuttlefish.png
fauna,Fennec_Fox,Fennec Fox,PASS,FAIL,FAIL,PASS -> FAIL,"Current rabbit/deer-like quadruped is not a fox body. Use a small canine torso, canine paws/hocks, tapered muzzle, huge ears, and a full bushy tail.",Fennec_Fox.png
fauna,Secretary_Bird,Secretary Bird,PASS,FAIL,FAIL,PASS -> FAIL,"Current elegant wader/peacock-like bird misses the raptor body. Use a raptor head and hooked bill, long powerful legs, crest quills, compact wings, and long tail.",Secretary_Bird.png
flora,Banana,Banana,PASS,FAIL,FAIL,PASS -> FAIL,"Current palm-like trunk/crown does not match a banana plant. Use a giant herb with overlapping pseudostem, very broad torn leaves, and a hanging banana bunch with terminal flower.",Banana.png
fauna,African_Elephant,African Elephant,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"Differentiate more strongly from Asian Elephant: larger ears, more concave back, heavier body. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",African_Elephant.png
fauna,Agama,Agama,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify skull/head profile, limb state, body thickness, scale texture, tail and any crest/frill/horn; do not rely on color alone.",Agama.png
fauna,Agouti,Agouti,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify rodent/lagomorph skull, incisors/muzzle, fore/hind foot proportions, body posture and tail; several currently inherit the rabbit-like template.",Agouti.png
fauna,Alligator_Lizard,Alligator Lizard,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify skull/head profile, limb state, body thickness, scale texture, tail and any crest/frill/horn; do not rely on color alone.",Alligator_Lizard.png
fauna,Amphipod,Amphipod,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Amphipod.png
fauna,Anaconda,Anaconda,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify skull/head profile, limb state, body thickness, scale texture, tail and any crest/frill/horn; do not rely on color alone.",Anaconda.png
fauna,Anchovy,Anchovy,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Anchovy.png
fauna,Angelfish,Angelfish,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Angelfish.png
fauna,Anglerfish,Anglerfish,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Anglerfish.png
fauna,Anole,Anole,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify skull/head profile, limb state, body thickness, scale texture, tail and any crest/frill/horn; do not rely on color alone.",Anole.png
fauna,Ant,Ant,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Ant.png
fauna,Antelope,Antelope,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The ungulate base is usable, but the named species must have correct horn/antler geometry, neck, shoulder/croup mass, leg length, hooves, head and tail.",Antelope.png
fauna,Aphid,Aphid,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Aphid.png
fauna,Arapaima,Arapaima,PASS_WITH_POLISH,HOLD,FAIL,PASS_WITH_POLISH -> HOLD,"No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Arapaima.png
