category,asset_id,display_name,current_status,binary_result,previous_strict_status,changed_from_previous_submission,expected_body_family,global_body_template_risk,near_identical_silhouette_neighbors,body_plan,torso,head,eyes,legs_wings_appendages,rear_tail_flukes,signature_traits,current_assessment_and_required_fix,filename,width,height,mode,sha256,previous_sha256,expected_growth_family,overall_growth_form,roots_or_attachment,stem_trunk,leaves_fronds,flower_fruit_spore_harvest,scale_and_silhouette,fruiting_body_family,cap_body,stem_attachment_substrate,surface_spores_texture,cell_or_body_morphology,membrane_shell_wall,locomotion_structures,internal_structures,colony_or_scale_read,procedural_kind,body_or_growth_plan,head_sensory_region,limbs_wings_roots_appendages,rear_tail_or_terminal_region,material_skin_surface,trait_blend_coherence
fauna,Aardvark,Aardvark,FAIL,FAIL,FAIL,True,Unusual African mammals,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,The current animal is still a generic hoofed/rabbit-like quadruped. Rebuild the torso with an arched back and low shoulders; lengthen the tubular snout; enlarge the ears; add heavy digging forelimbs with claws; and replace the thin tail with a thick tapering aardvark tail.,Aardvark.png,440,440,RGBA,70eb2ea56791cea584d3ce302c777d0e8bd8f53eddda6272cf55289b0d4ffe69,def503f353511e828047c30463a5d7b425af325c0673b1af85872987d637246e,,,,,,,,,,,,,,,,,,,,,,,
fauna,African_Wild_Dog,African Wild Dog,FAIL,FAIL,FAIL,True,Dogs and dog-like mammals,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The coat pattern and large ears read, but the body is still a straight-legged hoofed ungulate. Use a lean canid chest, digitigrade legs and paws, canine muzzle, sloped abdomen, and a full brush tail.",African_Wild_Dog.png,440,440,RGBA,5d6c3ec14bbca403c8c9da9b40e116ac871fcd1934072a966f6c50e3209ea8cf,d4e64ee2bd1b988182f416ee80fd238699c67e2c01fb4ebc34e4c81681139dc3,,,,,,,,,,,,,,,,,,,,,,,
fauna,Agama,Agama,FAIL,FAIL,HOLD,True,Medium and small lizards,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","The blue-green color and dorsal spines suggest a fantasy lizard more than an agama. Use a low, broad lizard torso, four clearly articulated splayed legs, triangular agama head, long tapering tail, and species-appropriate crest/color zones.",Agama.png,440,440,RGBA,6b34486186d6fe54237decb79d6f68ac305e3e979e385e4c212244a5d9f5d8f2,b8c2ce3a3ab9035a8df5266bfc4837bcacc92b35880127e74a0efb94a29c9002,,,,,,,,,,,,,,,,,,,,,,,
fauna,Albatross,Albatross,FAIL,FAIL,FAIL,True,Seabirds,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The image is a compact generic bird with a long tail. An albatross needs an oceanic seabird body, very long narrow wings, short tail, large hooked/tubular bill, and webbed feet.",Albatross.png,440,440,RGBA,3951012b6223c54ae7b1acc63593aa2f719714572da13d6105c60252996de305,62d380f69641125b065b16acf138b069394afabe3c9de1bedd749c13d392e9b6,,,,,,,,,,,,,,,,,,,,,,,
fauna,Alligator,Alligator,FAIL,FAIL,FAIL,True,Crocodilians,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The body remains a narrow lizard. Widen and flatten the torso, add a broad U-shaped snout, strong splayed limbs, dorsal scutes, and a thick muscular tail.",Alligator.png,440,440,RGBA,b6194a9a7aa0c6cdbc488f6e25457e4b503a9d4d2992c39a8d22273003e1a494,7c078afddc082ea5c1aaf78967ba28e1328d86dfbe17eb4cc0090eb9fb6bea73,,,,,,,,,,,,,,,,,,,,,,,
fauna,Arctic_Fox,Arctic Fox,FAIL,FAIL,HOLD,True,Dogs and dog-like mammals,MEDIUM,,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,"The white coat identifies the label, but the body remains a deer-like quadruped rather than a compact canid. Use a deep canine chest, digitigrade paws, short muzzle/ears adapted to cold and a full brush tail.",Arctic_Fox.png,440,440,RGBA,0154b793bd6ef35c0ef1a4505c3a37472824e77593fa6a2d4e2845933925adb0,b8b7dd3640c2759a43def16b91ab103d1e2f95a7a073b1df0d1cd605c7ae32a6,,,,,,,,,,,,,,,,,,,,,,,
fauna,Avocet,Avocet,FAIL,FAIL,HOLD,True,Shorebirds,MEDIUM,,PASS,POLISH,POLISH,PASS,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","The current white wader has a straight yellow bill. Add the avocet’s very long upcurved black bill, black-and-white head/wing pattern, longer blue-gray legs, and more slender shorebird torso.",Avocet.png,440,440,RGBA,89e43c9fd6ad9223b3693e2066691468ee30891ab22a325961e9186a9fbcea42,c14e4bbbdf1b8ae62e93ef3d42fcc7dcd0ab67d88718b57be8b2de635733b06a,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bactrian_Camel,Bactrian Camel,FAIL,FAIL,FAIL,True,Camels,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"Two humps are present, but they sit on a deer/horse scaffold. Rebuild with a long curved camelid neck and head, deep chest, padded two-toed feet, integrated humps, and a shorter tufted tail.",Bactrian_Camel.png,440,440,RGBA,0c126dc2cb110bd870402ab976bfb06c22bba84ab0806030f51c30ef5cb31ff5,0a3ace8887a53ae19721584c21c625ac9df16adccf3c9e1a845fb49e5d95e902,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bear,Bear,FAIL,FAIL,FAIL,False,Bears,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current body is a boxy pig/ungulate with stiff legs. Use a heavy plantigrade bear torso, broad shoulders, large paws, short tail, thick neck and ursid skull.",Bear.png,440,440,RGBA,aa3c46e57adb04da492bc206d4c27adbb15cc409795c67c4aaa447e068fc477a,aa3c46e57adb04da492bc206d4c27adbb15cc409795c67c4aaa447e068fc477a,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bee,Bee,FAIL,FAIL,FAIL,True,Insects,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"Current bead-like insect lacks two wing pairs, thorax/abdomen separation, six legs, and bee body hair. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Bee.png,440,440,RGBA,6bc3b2e57b37b13330f9da35daef19c6853ccd5504318d8dd352d62a74cd4670,0b0399d907a007fd9da89f0b4d7845346b107f201f6e4b3ded7cec12961f5bdc,,,,,,,,,,,,,,,,,,,,,,,
